Time resolution is 1 ps
t=                   0, clk=0, reset=1, enable=0, we=0, wra=00, wrd=  0, t1attempts=000, t1fails=000, t2attempts=000, t2fails=000
t=               10000, clk=1, reset=1, enable=0, we=0, wra=00, wrd=  0, t1attempts=000, t1fails=000, t2attempts=000, t2fails=000
t=               20000, clk=0, reset=1, enable=0, we=0, wra=00, wrd=  0, t1attempts=000, t1fails=000, t2attempts=000, t2fails=000
t=               30000, clk=1, reset=0, enable=0, we=0, wra=00, wrd=  0, t1attempts=000, t1fails=000, t2attempts=000, t2fails=000
t=               40000, clk=0, reset=0, enable=0, we=0, wra=00, wrd=  0, t1attempts=000, t1fails=000, t2attempts=000, t2fails=000
t=               50000, clk=1, reset=0, enable=1, we=0, wra=00, wrd=  0, t1attempts=000, t1fails=000, t2attempts=000, t2fails=000
t=               60000, clk=0, reset=0, enable=1, we=1, wra=00, wrd=  0, t1attempts=001, t1fails=000, t2attempts=000, t2fails=000
t=               70000, clk=1, reset=0, enable=1, we=1, wra=00, wrd=  0, t1attempts=001, t1fails=000, t2attempts=000, t2fails=000
t=               80000, clk=0, reset=0, enable=1, we=0, wra=00, wrd=  0, t1attempts=001, t1fails=000, t2attempts=000, t2fails=000
t=               90000, clk=1, reset=0, enable=1, we=0, wra=00, wrd=  0, t1attempts=001, t1fails=000, t2attempts=000, t2fails=000
t=              100000, clk=0, reset=0, enable=1, we=0, wra=00, wrd=  0, t1attempts=001, t1fails=000, t2attempts=000, t2fails=000
t=              110000, clk=1, reset=0, enable=1, we=0, wra=00, wrd=  0, t1attempts=001, t1fails=000, t2attempts=000, t2fails=000
t=              120000, clk=0, reset=0, enable=1, we=1, wra=01, wrd=  0, t1attempts=002, t1fails=000, t2attempts=000, t2fails=000
t=              130000, clk=1, reset=0, enable=1, we=1, wra=01, wrd=  0, t1attempts=002, t1fails=000, t2attempts=000, t2fails=000
t=              140000, clk=0, reset=0, enable=1, we=0, wra=01, wrd=  0, t1attempts=002, t1fails=000, t2attempts=000, t2fails=000
t=              150000, clk=1, reset=0, enable=1, we=0, wra=01, wrd=  0, t1attempts=002, t1fails=000, t2attempts=000, t2fails=000
t=              160000, clk=0, reset=0, enable=1, we=0, wra=01, wrd=  0, t1attempts=002, t1fails=000, t2attempts=000, t2fails=000
t=              170000, clk=1, reset=0, enable=1, we=0, wra=01, wrd=  0, t1attempts=002, t1fails=000, t2attempts=000, t2fails=000
t=              180000, clk=0, reset=0, enable=1, we=1, wra=02, wrd=  0, t1attempts=003, t1fails=000, t2attempts=000, t2fails=000
t=              190000, clk=1, reset=0, enable=1, we=1, wra=02, wrd=  0, t1attempts=003, t1fails=000, t2attempts=000, t2fails=000
t=              200000, clk=0, reset=0, enable=1, we=0, wra=02, wrd=  0, t1attempts=003, t1fails=000, t2attempts=000, t2fails=000
t=              210000, clk=1, reset=0, enable=1, we=0, wra=02, wrd=  0, t1attempts=003, t1fails=000, t2attempts=000, t2fails=000
t=              220000, clk=0, reset=0, enable=1, we=0, wra=02, wrd=  0, t1attempts=003, t1fails=000, t2attempts=000, t2fails=000
t=              230000, clk=1, reset=0, enable=1, we=0, wra=02, wrd=  0, t1attempts=003, t1fails=000, t2attempts=000, t2fails=000
